

# Data from male_chn
"AverageAge"	"P1"	"P2"
55	0.0252737416631765	0.0338560927790396
56	0.025224304468312	0.034643067445461
57	0.025224304468312	0.034643067445461
58	0.025224304468312	0.034643067445461
59	0.025224304468312	0.034643067445461
60	0.025224304468312	0.034643067445461
61	0.0256840835922911	0.0355501811813032
62	0.0256840835922911	0.0355501811813032
63	0.0256840835922911	0.0355501811813032
64	0.0256840835922911	0.0355501811813032
65	0.0256840835922911	0.0355501811813032
66	0.0267071284149749	0.0364668297015933
67	0.0267071284149749	0.0364668297015933
68	0.0267071284149749	0.0364668297015933
69	0.0267071284149749	0.0364668297015933
70	0.0267071284149749	0.0364668297015933
71	0.0282612382669849	0.0373139562593047
72	0.0282612382669849	0.0373139562593047
73	0.0282612382669849	0.0373139562593047
74	0.0282612382669849	0.0373139562593047
75	0.0282612382669849	0.0373139562593047
76	0.0300241839586099	0.03804314157231
77	0.0300241839586099	0.03804314157231
78	0.0300241839586099	0.03804314157231
79	0.0300241839586099	0.03804314157231
80	0.0300241839586099	0.03804314157231
81	0.0319236860305133	0.0386673605669246
82	0.0319236860305133	0.0386673605669246
83	0.0319236860305133	0.0386673605669246
84	0.0319236860305133	0.0386673605669246
85	0.0319236860305133	0.0386673605669246
86	0.0339785540537399	0.0392077563397195
87	0.0339785540537399	0.0392077563397195
88	0.0339785540537399	0.0392077563397195
89	0.0339785540537399	0.0392077563397195
90	0.0339785540537399	0.0392077563397195


# Data from male_ind
"AverageAge"	"P1"	"P2"
26	0.0141937330175034	0
27	0.0141937330175034	0
28	0.0141937330175034	0
29	0.0141937330175034	0
30	0.0141937330175034	0
31	0.0157041238069846	0.0150987382164939
32	0.0157041238069846	0.0150987382164939
33	0.0157041238069846	0.0150987382164939
34	0.0157041238069846	0.0150987382164939
35	0.0157041238069846	0.0150987382164939
36	0.0186483270175067	0.0308547997690627
37	0.0186483270175067	0.0308547997690627
38	0.0186483270175067	0.0308547997690627
39	0.0186483270175067	0.0308547997690627
40	0.0186483270175067	0.0308547997690627
41	0.0228083353457395	0.0377196356180121
42	0.0228083353457395	0.0377196356180121
43	0.0228083353457395	0.0377196356180121
44	0.0228083353457395	0.0377196356180121
45	0.0228083353457395	0.0377196356180121
46	0.0292991734692188	0.0665105607189588
47	0.0292991734692188	0.0665105607189588
48	0.0292991734692188	0.0665105607189588
49	0.0292991734692188	0.0665105607189588
50	0.0292991734692188	0.0665105607189588
51	0.0368294379773296	0.101697172512485
52	0.0368294379773296	0.101697172512485
53	0.0368294379773296	0.101697172512485
54	0.0368294379773296	0.101697172512485
55	0.0368294379773296	0.101697172512485
56	0.043743963427846	0.12122528214587
57	0.043743963427846	0.12122528214587
58	0.043743963427846	0.12122528214587
59	0.043743963427846	0.12122528214587
60	0.043743963427846	0.12122528214587
61	0.050056290333047	0.13252306919485
62	0.050056290333047	0.13252306919485
63	0.050056290333047	0.13252306919485
64	0.050056290333047	0.13252306919485
65	0.050056290333047	0.13252306919485
66	0.0559512854862974	0.139659126709254
67	0.0559512854862974	0.139659126709254
68	0.0559512854862974	0.139659126709254
69	0.0559512854862974	0.139659126709254
70	0.0559512854862974	0.139659126709254
71	0.0622754580768637	0.144763440693059
72	0.0622754580768637	0.144763440693059
73	0.0622754580768637	0.144763440693059
74	0.0622754580768637	0.144763440693059
75	0.0622754580768637	0.144763440693059
76	0.0693637698295177	0.148652071511914
77	0.0693637698295177	0.148652071511914
78	0.0693637698295177	0.148652071511914
79	0.0693637698295177	0.148652071511914
80	0.0693637698295177	0.148652071511914
81	0.0773971806620966	0.151713108795135
82	0.0773971806620966	0.151713108795135
83	0.0773971806620966	0.151713108795135
84	0.0773971806620966	0.151713108795135
85	0.0773971806620966	0.151713108795135
86	0.0866148923599141	0.154185340196818
87	0.0866148923599141	0.154185340196818
88	0.0866148923599141	0.154185340196818
89	0.0866148923599141	0.154185340196818
90	0.0866148923599141	0.154185340196818


# Data from female_ind
"AverageAge"	"P1"	"P2"
26	0.0318667534709191	0.0657500091415472
27	0.0318667534709191	0.0657500091415472
28	0.0318667534709191	0.0657500091415472
29	0.0318667534709191	0.0657500091415472
30	0.0318667534709191	0.0657500091415472
31	0.0335426098344802	0.0581646331702484
32	0.0335426098344802	0.0581646331702484
33	0.0335426098344802	0.0581646331702484
34	0.0335426098344802	0.0581646331702484
35	0.0335426098344802	0.0581646331702484
36	0.0347861813434958	0.0569297325838777
37	0.0347861813434958	0.0569297325838777
38	0.0347861813434958	0.0569297325838777
39	0.0347861813434958	0.0569297325838777
40	0.0347861813434958	0.0569297325838777
41	0.0354425998723366	0.0567423841804353
42	0.0354425998723366	0.0567423841804353
43	0.0354425998723366	0.0567423841804353
44	0.0354425998723366	0.0567423841804353
45	0.0354425998723366	0.0567423841804353
46	0.0354484268409957	0.0571515988148011
47	0.0354484268409957	0.0571515988148011
48	0.0354484268409957	0.0571515988148011
49	0.0354484268409957	0.0571515988148011
50	0.0354484268409957	0.0571515988148011
51	0.0349657148310903	0.0580631991160527
52	0.0349657148310903	0.0580631991160527
53	0.0349657148310903	0.0580631991160527
54	0.0349657148310903	0.0580631991160527
55	0.0349657148310903	0.0580631991160527
56	0.0348973194632529	0.0594128606689653
57	0.0348973194632529	0.0594128606689653
58	0.0348973194632529	0.0594128606689653
59	0.0348973194632529	0.0594128606689653
60	0.0348973194632529	0.0594128606689653
61	0.0355334146623174	0.0609685607259348
62	0.0355334146623174	0.0609685607259348
63	0.0355334146623174	0.0609685607259348
64	0.0355334146623174	0.0609685607259348
65	0.0355334146623174	0.0609685607259348
66	0.0369487766615857	0.0625406129382323
67	0.0369487766615857	0.0625406129382323
68	0.0369487766615857	0.0625406129382323
69	0.0369487766615857	0.0625406129382323
70	0.0369487766615857	0.0625406129382323
71	0.0390988564806235	0.0639934349847074
72	0.0390988564806235	0.0639934349847074
73	0.0390988564806235	0.0639934349847074
74	0.0390988564806235	0.0639934349847074
75	0.0390988564806235	0.0639934349847074
76	0.0415378564964333	0.0652439877965114
77	0.0415378564964333	0.0652439877965114
78	0.0415378564964333	0.0652439877965114
79	0.0415378564964333	0.0652439877965114
80	0.0415378564964333	0.0652439877965114
81	0.0441657795262871	0.0663145233722754
82	0.0441657795262871	0.0663145233722754
83	0.0441657795262871	0.0663145233722754
84	0.0441657795262871	0.0663145233722754
