sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,chinese,2,3.1,65-69,0.02180679449439096
1990,female,chinese,2,3.2,65-69,0.03271019174158644
1990,female,chinese,2,4,65-69,0.05815145198504256
1990,female,chinese,2,5,65-69,0.10721673959742224
1990,female,chinese,2,1,70-74,0.030101801463689248
1990,female,chinese,2,2,70-74,0.030101801463689248
1990,female,chinese,2,3.1,70-74,0.0361221617564271
1990,female,chinese,2,3.2,70-74,0.054183242634640645
1990,female,chinese,2,4,70-74,0.0963257646838056
1990,female,chinese,2,1,75-79,0.04434189031505242
1990,female,chinese,2,2,75-79,0.04434189031505242
1990,female,chinese,2,3.1,75-79,0.0532102683780629
1990,female,chinese,2,3.2,75-79,0.07981540256709435
1990,female,chinese,2,4,75-79,0.14189404900816774
1990,female,chinese,2,5,75-79,0.26161715285880927
1990,female,chinese,2,1,80-84,0.07126226454150271
1990,female,chinese,2,2,80-84,0.07126226454150271
1990,female,chinese,2,3.1,80-84,0.08551471744980325
1990,female,chinese,2,3.2,80-84,0.12827207617470487
1990,female,chinese,2,4,80-84,0.22803924653280866
1990,female,chinese,2,5,80-84,0.42044736079486605
1990,female,chinese,2,1,85+,0.12317169540229884
1990,female,chinese,2,2,85+,0.12317169540229884
1990,female,chinese,2,3.1,85+,0.1478060344827586
1990,female,chinese,2,3.2,85+,0.22170905172413793
1990,female,chinese,2,4,85+,0.39414942528735636
1990,female,chinese,3,1,0,0.0062
1990,female,chinese,3,1,1-4,0.0002
1990,female,chinese,3,2,1-4,0.0002
1990,female,chinese,3,1,10-14,0.0002
1990,female,chinese,3,2,10-14,0.0002
1990,female,chinese,3,1,15-19,0.0002
1990,female,chinese,3,2,15-19,0.0002
1990,female,chinese,3,1,20-24,0.0004
1990,female,chinese,3,2,20-24,0.0004
1990,female,chinese,3,1,25-29,0.0004
1990,female,chinese,3,2,25-29,0.0004
1990,female,chinese,3,1,30-34,0.0006
1990,female,chinese,3,2,30-34,0.0006
1990,female,chinese,3,1,35-39,0.0009999208610319721
1990,female,chinese,3,2,35-39,0.0009999208610319721
1990,female,chinese,3,3.1,35-39,0.0011999050332383663
1990,female,chinese,3,1,40-44,0.0013999326955434835
1990,female,chinese,3,2,40-44,0.0013999326955434835
1990,female,chinese,3,3.1,40-44,0.0016799192346521803
