gen_thresh,diab_thresh,hyper_thresh,TP,FN,FP,TN,Total_Screened,NNS,sensitivity,specificity
55,55,50,4738802,943738,2922571,6149686,7728884,1.6309784624890427,0.8339232103953513,0.677856237979149
55,55,45,4843396,839144,3094646,5977611,7997720,1.6512628742312212,0.8523294160709823,0.6588890724766726
55,55,40,4904760,777780,3223907,5848350,8183992,1.668581541196715,0.8631281082051336,0.6446411295447207
55,55,35,4937412,745128,3315849,5756408,8306528,1.6823647692353807,0.8688741302304955,0.6345067164653735
55,50,50,4756100,926440,2936449,6135808,7757517,1.6310668404785433,0.836967271677806,0.6763265194096684
55,50,45,4860694,821846,3108524,5963733,8026353,1.6512771633021952,0.855373477353437,0.657359353907192
55,50,40,4922058,760482,3237785,5834472,8212625,1.6685347876843386,0.8661721694875884,0.6431114109752403
55,50,35,4954710,727830,3329727,5742530,8335161,1.6822702035033332,0.8719181915129502,0.6329769978958929
55,45,45,4874578,807962,3122229,5950028,8051529,1.6517386735836415,0.857816750959958,0.6558487044624066
55,45,40,4935942,746598,3251490,5820767,8237801,1.6689420175520702,0.8686154430941093,0.6416007615304549
55,45,35,4968594,713946,3343432,5728825,8360337,1.682636375602434,0.8743614651194712,0.6314663484511076
55,40,40,4945122,737418,3262726,5809531,8256244,1.669573369473999,0.8702309178641945,0.6403622604606549
55,40,35,4977774,704766,3354668,5717589,8378780,1.6832383310290906,0.8759769398895564,0.6302278473813077
55,35,35,4982370,700170,3361914,5710343,8389420,1.683821153386842,0.8767857331404618,0.6294291486671949
50,50,50,4869604,812936,3163318,5908939,8096321,1.6626241066008653,0.8569414381596961,0.6513196220080626
50,50,45,4974198,708342,3335393,5736864,8365157,1.6817096947085741,0.8753476438353271,0.6323524565055862
50,50,40,5035562,646978,3464654,5607603,8551429,1.6982074691960898,0.8861463359694784,0.6181045135736344
50,50,35,5068214,614326,3556596,5515661,8673965,1.7114441102921067,0.8918923579948403,0.6079701004942871
50,45,45,4988082,694458,3349098,5723159,8390333,1.6820759963448877,0.8777909174418482,0.6308418070608008
50,45,40,5049446,633094,3478359,5593898,8576605,1.6985239568855672,0.8885896095759994,0.6165938641288491
50,45,35,5082098,600442,3570301,5501956,8699141,1.71172240283442,0.8943356316013613,0.6064594510495018
50,40,40,5058626,623914,3489595,5582662,8595048,1.6990874597173224,0.8902050843460847,0.6153553630590491
50,40,35,5091278,591262,3581537,5490720,8717584,1.712258493839857,0.8959511063714466,0.6052209499797019
50,35,35,5095874,586666,3588783,5483474,8728224,1.7128021611209383,0.896759899622352,0.6044222512655891
45,45,45,5110989,571551,3617480,5454777,8779989,1.7178649768175984,0.899419801708391,0.6012590913154245
45,45,40,5172353,510187,3746741,5325516,8966261,1.7334975010406288,0.9102184938425423,0.5870111483834728
45,45,35,5205005,477535,3838683,5233574,9088797,1.746164893213359,0.9159645158679042,0.5768767353041255
45,40,40,5181533,501007,3757977,5314280,8984704,1.7339856756677994,0.9118339686126274,0.5857726473136728
45,40,35,5214185,468355,3849919,5222338,9107240,1.746627708836568,0.9175799906379893,0.5756382342343256
45,35,35,5218781,463759,3857165,5215092,9117880,1.747128304483365,0.9183887838888948,0.5748395355202129
40,40,40,5305679,376861,4081677,4990580,9430506,1.777436215044295,0.9336808891798386,0.55009244116431
40,40,35,5338331,344209,4173619,4898638,9553042,1.7895184843352725,0.9394269112052005,0.5399580280849627
40,35,35,5342927,339613,4180865,4891392,9563682,1.789970553593564,0.9402357044561059,0.5391593293708501
35,35,35,5456092,226448,4563731,4508526,10057359,1.8433265054914763,0.9601502145167478,0.4969574825757251
