ethnicity,simulation,year,prevalence,ethnicity_label
0,5,-59,3.5204663540742622,Chinese_Male
0,5,-58,3.52310251508305,Chinese_Male
0,5,-57,3.652233274819583,Chinese_Male
0,5,-56,3.676593708886497,Chinese_Male
0,5,-55,3.6692287802928805,Chinese_Male
0,5,-54,3.746623883284471,Chinese_Male
0,5,-53,3.830800635064641,Chinese_Male
0,5,-52,3.927559827820773,Chinese_Male
0,5,-51,4.071732736292199,Chinese_Male
0,5,-50,4.139570055093443,Chinese_Male
0,5,-49,4.1919224143431375,Chinese_Male
0,5,-48,4.338302532803096,Chinese_Male
0,5,-47,4.479492618182582,Chinese_Male
0,5,-46,4.506785076980537,Chinese_Male
0,5,-45,4.7234599190614395,Chinese_Male
0,5,-44,4.91191460331474,Chinese_Male
0,5,-43,4.948050408880812,Chinese_Male
0,5,-42,5.127213672569794,Chinese_Male
0,5,-41,5.2941064166937135,Chinese_Male
0,5,-40,5.553980226469309,Chinese_Male
0,5,-39,5.738516429118488,Chinese_Male
0,5,-38,5.959262063489132,Chinese_Male
0,5,-37,6.065984738970521,Chinese_Male
0,5,-36,6.338130278754487,Chinese_Male
0,5,-35,6.41710268443102,Chinese_Male
0,5,-34,6.680093392981268,Chinese_Male
0,5,-33,6.806698936508497,Chinese_Male
0,5,-32,7.02531423969749,Chinese_Male
0,5,-31,7.319108978037455,Chinese_Male
0,5,-30,7.765925977483514,Chinese_Male
0,5,-29,7.674530905077264,Chinese_Male
0,5,-28,7.906363449551339,Chinese_Male
0,5,-27,7.979964320021956,Chinese_Male
0,5,-26,8.302075088612822,Chinese_Male
0,5,-25,8.452837984402706,Chinese_Male
0,5,-24,8.502268766929486,Chinese_Male
0,5,-23,8.679984060707913,Chinese_Male
0,5,-22,8.752960022287226,Chinese_Male
0,5,-21,8.764591609933671,Chinese_Male
0,5,-20,8.763022434602345,Chinese_Male
0,5,-19,8.835234810294509,Chinese_Male
0,5,-18,9.000675940090362,Chinese_Male
0,5,-17,8.992162055760353,Chinese_Male
0,5,-16,9.082395317424584,Chinese_Male
0,5,-15,9.194151155618446,Chinese_Male
0,5,-14,9.071633552066388,Chinese_Male
0,5,-13,9.23916047835781,Chinese_Male
0,5,-12,9.363212367839159,Chinese_Male
0,5,-11,9.326609425968279,Chinese_Male
0,5,-10,9.42743110068663,Chinese_Male
0,5,-9,9.425387891694555,Chinese_Male
0,5,-8,9.391271056661562,Chinese_Male
0,5,-7,9.631657061351941,Chinese_Male
0,5,-6,9.715616810637679,Chinese_Male
0,5,-5,9.964559143153648,Chinese_Male
0,5,-4,10.014637233958384,Chinese_Male
0,5,-3,10.071971211515395,Chinese_Male
0,5,-2,10.234006836154764,Chinese_Male
0,5,-1,10.328772717990606,Chinese_Male
0,6,-61,3.3481489367364863,Chinese_Male
0,6,-60,3.5538389755819377,Chinese_Male
0,6,-59,3.538208085160309,Chinese_Male
0,6,-58,3.667105295826402,Chinese_Male
0,6,-57,3.713185098498147,Chinese_Male
0,6,-56,3.693338117450066,Chinese_Male
0,6,-55,3.8572738170791903,Chinese_Male
0,6,-54,3.9266834414460168,Chinese_Male
0,6,-53,3.9215241551372197,Chinese_Male
0,6,-52,4.068068782478757,Chinese_Male
0,6,-51,4.124412836384389,Chinese_Male
0,6,-50,4.223830614669979,Chinese_Male
0,6,-49,4.3301644016248755,Chinese_Male
0,6,-48,4.459519809454948,Chinese_Male
0,6,-47,4.620198668542748,Chinese_Male
0,6,-46,4.699755156243516,Chinese_Male
0,6,-45,4.778645301066917,Chinese_Male
0,6,-44,5.004213652233236,Chinese_Male
0,6,-43,5.072492395211946,Chinese_Male
0,6,-42,5.140747041992112,Chinese_Male
0,6,-41,5.267378147730961,Chinese_Male
0,6,-40,5.510501143688916,Chinese_Male
0,6,-39,5.618964003511852,Chinese_Male
0,6,-38,5.818913778138908,Chinese_Male
0,6,-37,5.908616809090743,Chinese_Male
0,6,-36,6.205821582629499,Chinese_Male
0,6,-35,6.332596148659582,Chinese_Male
0,6,-34,6.566025629600585,Chinese_Male
0,6,-33,6.806698936508497,Chinese_Male
0,6,-32,6.9973040159658275,Chinese_Male
0,6,-31,7.265202497087311,Chinese_Male
0,6,-30,7.572778367467678,Chinese_Male
0,6,-29,7.745240066225166,Chinese_Male
0,6,-28,7.764230426741557,Chinese_Male
0,6,-27,7.954233566625497,Chinese_Male
0,6,-26,8.114525620289756,Chinese_Male
0,6,-25,8.289290202627093,Chinese_Male
0,6,-24,8.500543468884251,Chinese_Male
0,6,-23,8.63840329874045,Chinese_Male
0,6,-22,8.674606491154757,Chinese_Male
0,6,-21,8.801344090726124,Chinese_Male
0,6,-20,8.831538448024455,Chinese_Male
0,6,-19,8.773326258070222,Chinese_Male
0,6,-18,9.038030524031448,Chinese_Male
0,6,-17,8.920582656311513,Chinese_Male
0,6,-16,8.90589824403422,Chinese_Male
0,6,-15,9.07985922136352,Chinese_Male
0,6,-14,9.004002997678628,Chinese_Male
0,6,-13,9.158082883414103,Chinese_Male
0,6,-12,9.199695263578423,Chinese_Male
0,6,-11,9.206628922800045,Chinese_Male
0,6,-10,9.310155673671666,Chinese_Male
0,6,-9,9.41778217219349,Chinese_Male
0,6,-8,9.632465543644717,Chinese_Male
0,6,-7,9.708756577552476,Chinese_Male
0,6,-6,9.987382315830342,Chinese_Male
0,6,-5,10.076168471343816,Chinese_Male
0,6,-4,10.184745628609857,Chinese_Male
0,6,-3,10.249900039984007,Chinese_Male
0,6,-2,10.357381226867302,Chinese_Male
0,6,-1,10.508474576271185,Chinese_Male
0,7,-61,3.3375029941713463,Chinese_Male
0,7,-60,3.5875369381512776,Chinese_Male
0,7,-59,3.5838296793815743,Chinese_Male
0,7,-58,3.6025523251483476,Chinese_Male
0,7,-57,3.647357128925297,Chinese_Male
0,7,-56,3.7052984092811867,Chinese_Male
0,7,-55,3.79615918012364,Chinese_Male
0,7,-54,3.848195941734574,Chinese_Male
0,7,-53,3.9691540031753227,Chinese_Male
0,7,-52,4.0123112607890805,Chinese_Male
0,7,-51,4.106852803020326,Chinese_Male
0,7,-50,4.159014799611105,Chinese_Male
0,7,-49,4.094089623343755,Chinese_Male
0,7,-48,4.26812410947834,Chinese_Male
0,7,-47,4.284184219921457,Chinese_Male
0,7,-46,4.438311823048513,Chinese_Male
0,7,-45,4.6069574459387646,Chinese_Male
0,7,-44,4.765440025683214,Chinese_Male
0,7,-43,4.872990163157271,Chinese_Male
0,7,-42,5.0402134405691745,Chinese_Male
0,7,-41,5.204375799461617,Chinese_Male
0,7,-40,5.487816404846972,Chinese_Male
0,7,-39,5.693684269515999,Chinese_Male
0,7,-38,5.870621041162675,Chinese_Male
0,7,-37,5.947043861735804,Chinese_Male
0,7,-36,6.17682241635553,Chinese_Male
0,7,-35,6.249887624287538,Chinese_Male
0,7,-34,6.508991747910244,Chinese_Male
0,7,-33,6.753701021093169,Chinese_Male
0,7,-32,6.8712580091733475,Chinese_Male
0,7,-31,7.265202497087311,Chinese_Male
0,7,-30,7.577998573143782,Chinese_Male
0,7,-29,7.621067880794702,Chinese_Male
0,7,-28,7.784779779436948,Chinese_Male
0,7,-27,7.825579799643201,Chinese_Male
0,7,-26,7.973433359716439,Chinese_Male
0,7,-25,8.141236421230223,Chinese_Male
0,7,-24,8.284881213229585,Chinese_Male
0,7,-23,8.525788735078569,Chinese_Male
0,7,-22,8.523122997631983,Chinese_Male
0,7,-21,8.530075780115158,Chinese_Male
0,7,-20,8.727886017462799,Chinese_Male
0,7,-19,8.764482179181037,Chinese_Male
0,7,-18,8.664484684620584,Chinese_Male
0,7,-17,8.99037257077413,Chinese_Male
0,7,-16,9.003151733453398,Chinese_Male
0,7,-15,8.844018722107325,Chinese_Male
0,7,-14,8.993035880750883,Chinese_Male
0,7,-13,9.204149698723029,Chinese_Male
0,7,-12,9.26658862441236,Chinese_Male
0,7,-11,9.285366128004199,Chinese_Male
0,7,-10,9.423648022395824,Chinese_Male
0,7,-9,9.431092181320352,Chinese_Male
0,7,-8,9.433384379785604,Chinese_Male
0,7,-7,9.803203484898132,Chinese_Male
0,7,-6,9.777734640396,Chinese_Male
0,7,-5,9.923439916978325,Chinese_Male
0,7,-4,10.103647440462062,Chinese_Male
0,7,-3,10.10595761695322,Chinese_Male
0,7,-2,10.2926602350181,Chinese_Male
0,7,-1,10.467633244843782,Chinese_Male
0,8,-61,3.3401644798126315,Chinese_Male
0,8,-60,3.5667997304162995,Chinese_Male
0,8,-59,3.621847674565961,Chinese_Male
0,8,-58,3.6944161680363483,Chinese_Male
0,8,-57,3.6863662960795787,Chinese_Male
0,8,-56,3.698122234182514,Chinese_Male
0,8,-55,3.7844063653244957,Chinese_Male
0,8,-54,3.8782058680948315,Chinese_Male
0,8,-53,3.9283284191426624,Chinese_Male
0,8,-52,3.99000825211321,Chinese_Male
0,8,-51,4.071732736292199,Chinese_Male
0,8,-50,4.159014799611105,Chinese_Male
0,8,-49,4.206810012973479,Chinese_Male
0,8,-48,4.436127001680029,Chinese_Male
0,8,-47,4.6054980364155655,Chinese_Male
0,8,-46,4.685230526621571,Chinese_Male
0,8,-45,4.895147774189593,Chinese_Male
0,8,-44,4.909908102251294,Chinese_Male
