parti,gen_thresh,diab_thresh,hyper_thresh,TP,FN,FP,TN,Total_Screened,NNS,sensitivity,specificity,Dist_to_Perfect
0.8,55,55,40,1164535,895022,838897,776221,3243116,2.784902128317311,0.5654298472924032,0.4805970833090833,0.6772227163137216
0.8,55,55,45,1164106,895451,838544,776574,3168631,2.7219437061573433,0.5652215500712047,0.4808156431913953,0.6771888192204968
0.8,55,55,50,1162893,896664,837218,777900,3060317,2.6316410882170587,0.5646325884644124,0.4816366358371339,0.6769382249019786
0.8,55,55,55,1159735,899822,833670,781448,2897688,2.4985776923176415,0.5630992490132587,0.48383337935680243,0.6762471785368107
0.8,60,35,35,1160384,899173,833338,781780,3203885,2.7610558229000057,0.5634143653222513,0.48403893709314116,0.6758867026676499
0.8,60,40,35,1160380,899177,833337,781781,3199572,2.7573484548165257,0.5634124231570187,0.4840395562429494,0.6758874845531605
0.8,60,40,40,1160312,899245,833275,781843,3150632,2.7153317383600273,0.5633794063480642,0.4840779435310609,0.6758795093447559
0.8,60,45,35,1160348,899209,833317,781801,3192188,2.751060888629963,0.5633968858351578,0.48405193923911444,0.6758880681750171
0.8,60,45,40,1160280,899277,833255,781863,3143248,2.7090426448788225,0.5633638690262032,0.4840903265272259,0.6758800944358039
0.8,60,45,45,1159851,899706,832902,782216,3068763,2.6458251965123107,0.5631555718050046,0.4843088864095379,0.6758478964095274
0.8,60,50,35,1160241,899316,833216,781902,3182086,2.7426077857962268,0.5633449329151852,0.4841144733697476,0.6758738966681707
0.8,60,50,40,1160173,899384,833154,781964,3133146,2.700585171349445,0.5633119161062307,0.48415286065785906,0.6758659288514859
0.8,60,50,45,1159744,899813,832801,782317,3058661,2.637358761933668,0.563103618885032,0.48437142054017107,0.6758337663857263
0.8,60,50,50,1158531,901026,831475,783643,2950347,2.546627582688767,0.5625146572782399,0.4851924131859096,0.6755888368954324
0.8,60,55,35,1160019,899538,833013,782105,3170645,2.7332698860966933,0.5632371427447748,0.4842401607808222,0.6758476198294556
0.8,60,55,40,1159951,899606,832951,782167,3121705,2.6912386816339655,0.5632041259358201,0.48427854806893367,0.6758396641078251
0.8,60,55,45,1159522,900035,832598,782520,3047220,2.6279967089887037,0.5629958287146216,0.4844971079512457,0.6758075742631551
0.8,60,55,50,1158309,901248,831272,783846,2938906,2.537238336229797,0.5624068671078295,0.48531810059698427,0.6755628819935868
0.8,60,55,55,1155151,904406,827724,787394,2776277,2.4033888210285927,0.5608735276566756,0.4875148441166528,0.6748874674443667
0.8,60,60,35,1159274,900283,832290,782828,3157559,2.7237383051806563,0.5628754144701992,0.4846878060921865,0.6757400095189601
0.8,60,60,40,1159206,900351,832228,782890,3108619,2.6816795289189326,0.5628423976612447,0.48472619338029793,0.6757320956347473
0.8,60,60,45,1158777,900780,831875,783243,3034134,2.618393357824672,0.5626341004400461,0.48494475326260994,0.6757002569850048
0.8,60,60,50,1157564,901993,830549,784569,2925820,2.527566510361414,0.5620451388332539,0.4857657459083485,0.6754563853431109
0.8,60,60,55,1154406,905151,827001,788117,2763191,2.393604156596553,0.5605117993821002,0.487962489428017,0.674783143472859
0.8,60,60,60,1143226,916331,814207,800911,2540536,2.2222517682418,0.5550834475569261,0.49588389207475864,0.6723717639130337
1.0,35,35,35,1182250,877307,848291,766827,4015873,3.3968052442376826,0.5740312115663708,0.4747807900103893,0.6762430238174179
1.0,40,35,35,1181995,877562,848080,767038,3818403,3.2304730561465997,0.5739073985327913,0.47491143061992996,0.6762195728598087
1.0,40,40,35,1181992,877565,848078,767040,3814147,3.226880554183108,0.5739059419088668,0.4749126689195464,0.6762195291484592
1.0,40,40,40,1181924,877633,848021,767097,3765133,3.18559653581787,0.5738729250999123,0.47494796045861665,0.6762129311019358
1.0,45,35,35,1181061,878496,847363,767755,3640083,3.08204487321146,0.5734539029509744,0.4753553610324447,0.6761609054841556
1.0,45,40,35,1181058,878499,847361,767757,3635827,3.0784491532168614,0.57345244632705,0.4753565993320612,0.6761608635589593
1.0,45,40,40,1180990,878567,847304,767814,3586813,3.037123938390672,0.5734194295180954,0.4753918908711314,0.6761543102550143
1.0,45,45,35,1181028,878529,847348,767770,3628450,3.0722810974845642,0.5734378800878053,0.4753646482795684,0.6761638073860554
