,K1,K2,K3a,K3b,K4,K5,Total_CKD,Total_Population
2015,13965.300000000001,8330.0,2610.8999999999996,778.2,239.8,275.3,26199.500000000004,150792.2
2016,14204.4,8567.1,2741.5000000000005,818.4,240.6,294.5,26866.5,152353.0
2017,14440.399999999998,8878.2,2892.5999999999995,876.8000000000001,260.8,310.8,27659.599999999995,154012.1
2018,14751.4,9216.1,3063.7,931.5999999999999,282.8,334.09999999999997,28579.699999999997,155713.90000000002
2019,15088.499999999998,9519.999999999998,3241.1,976.0,307.2,351.1,29483.899999999994,157358.30000000002
2020,15554.099999999999,9924.0,3442.2000000000003,1049.2,325.90000000000003,387.70000000000005,30683.100000000002,158723.30000000002
2021,16038.800000000001,10316.099999999999,3607.7,1122.1999999999998,338.1,411.09999999999997,31834.0,158520.9
2022,16699.2,10668.5,3729.7999999999997,1165.9000000000003,346.2,423.1000000000001,33032.700000000004,160711.9
2023,17552.600000000002,11101.5,3833.6000000000004,1213.6000000000001,370.2,436.0,34507.5,162640.49999999997
2024,18528.7,11574.800000000001,3962.6999999999994,1250.0999999999997,383.20000000000005,461.5,36160.99999999999,162932.2
2025,19521.499999999996,12067.300000000003,4081.7999999999993,1289.6999999999998,401.0,478.0,37839.299999999996,163098.1
2026,20529.4,12577.3,4199.2,1334.4999999999998,409.7,496.09999999999997,39546.19999999999,163470.59999999998
2027,21498.600000000002,13091.2,4291.899999999999,1379.6000000000001,421.3,504.00000000000006,41186.600000000006,163538.40000000002
2028,22431.100000000002,13600.400000000003,4390.5,1432.2,427.3,520.9999999999999,42802.50000000001,163464.40000000002
2029,23311.500000000007,14000.2,4456.5999999999985,1470.8999999999999,440.79999999999995,529.2,44209.20000000001,163091.9
2030,24109.600000000002,14448.800000000003,4529.4,1494.5,445.3999999999999,537.8000000000001,45565.500000000015,162725.49999999997
2031,24886.099999999995,14868.5,4595.000000000001,1528.8,454.8999999999999,539.7,46872.99999999999,162395.70000000004
2032,25562.700000000004,15240.199999999995,4639.7,1541.7,470.20000000000005,560.5000000000001,48014.99999999999,161791.0
2033,26210.400000000005,15576.299999999997,4675.7,1562.4999999999998,477.8999999999999,571.9000000000001,49074.700000000004,161239.89999999997
2034,26802.3,15892.0,4684.6,1572.4,486.99999999999994,581.6999999999998,50020.0,160607.9
2035,27348.200000000004,16214.599999999999,4712.300000000001,1584.6,488.79999999999995,585.9000000000001,50934.40000000001,159892.39999999997
2036,27834.2,16511.699999999997,4753.5,1605.5,498.2,586.3000000000001,51789.399999999994,159057.1
2037,28258.8,16819.3,4780.4,1616.8999999999999,510.9000000000001,592.2,52578.5,158257.5
2038,28643.800000000003,17089.2,4810.299999999999,1635.1,514.6999999999999,599.5999999999999,53292.7,157405.4
2039,28958.5,17372.5,4830.999999999999,1640.5999999999997,531.5,599.9,53934.0,156408.4
2040,29288.0,17639.6,4868.0,1652.1000000000001,538.9,604.0,54590.6,155393.99999999997
2041,29491.200000000004,17880.2,4903.599999999999,1658.2,552.0,620.8,55106.00000000001,154221.6
2042,29740.899999999998,18138.1,4939.8,1687.8000000000002,557.8,640.5999999999999,55705.00000000001,153679.0
2043,29940.399999999998,18430.199999999997,4975.0,1719.0000000000002,575.5,660.6,56300.69999999999,152918.69999999998
2044,30103.5,18689.399999999998,5041.199999999999,1753.3999999999996,586.3000000000001,687.2999999999998,56861.1,152237.19999999998
2045,30231.2,18970.300000000003,5081.1,1790.7,605.5999999999999,708.8999999999999,57387.799999999996,151411.6
2046,30304.100000000002,19176.8,5133.4,1825.1000000000004,615.9000000000001,730.9999999999999,57786.3,150312.1
2047,30351.6,19358.499999999996,5161.599999999999,1842.3999999999999,628.6999999999999,748.0,58090.79999999999,149191.0
2048,30323.3,19529.899999999998,5166.099999999999,1852.2,639.3000000000001,770.4000000000001,58281.2,147868.30000000005
2049,30305.8,19643.600000000002,5196.299999999999,1868.2,652.1,792.7,58458.69999999999,146512.6
2050,30263.999999999996,19798.100000000002,5217.299999999999,1893.3,667.9000000000002,819.2,58659.799999999996,145347.49999999997
