stage,ethnicity,age_group,year,prevalence,lower,upper
K1,overall,71-80,1992,10.31,8.67,11.95
K2,overall,71-80,1992,13.19,12.32,14.07
K3a,overall,71-80,1992,6.35,5.99,6.72
K3b,overall,71-80,1992,6.81,6.21,7.41
K4,overall,71-80,1992,1.74,1.41,2.08
K5,overall,71-80,1992,0.62,0.3,0.93
K1,overall,80+,1992,16.87,14.16,19.57
K2,overall,80+,1992,15.03,13.96,16.1
K3a,overall,80+,1992,5.15,5.01,5.29
K3b,overall,80+,1992,6.06,5.19,6.94
K4,overall,80+,1992,1.63,1.19,2.07
K5,overall,80+,1992,0.68,0.52,0.85
K1,overall,Overall,1993,3.68,2.56,4.81
K2,overall,Overall,1993,1.7,1.48,1.92
K3a,overall,Overall,1993,0.69,0.66,0.72
K3b,overall,Overall,1993,0.5,0.43,0.56
K4,overall,Overall,1993,0.12,0.09,0.16
K5,overall,Overall,1993,0.04,0.02,0.06
K1,chn,Overall,1993,2.97,2.02,3.91
K2,chn,Overall,1993,1.73,1.49,1.98
K3a,chn,Overall,1993,0.77,0.75,0.8
K3b,chn,Overall,1993,0.51,0.44,0.59
K4,chn,Overall,1993,0.13,0.09,0.17
K5,chn,Overall,1993,0.04,0.02,0.07
K1,mal,Overall,1993,4.34,3.08,5.59
K2,mal,Overall,1993,1.51,1.39,1.63
K3a,mal,Overall,1993,0.56,0.53,0.59
K3b,mal,Overall,1993,0.49,0.44,0.54
K4,mal,Overall,1993,0.11,0.08,0.13
K5,mal,Overall,1993,0.04,0.02,0.05
K1,ind,Overall,1993,3.47,2.32,4.61
K2,ind,Overall,1993,2.74,2.16,3.32
K3a,ind,Overall,1993,1.18,1.14,1.22
K3b,ind,Overall,1993,0.61,0.51,0.7
K4,ind,Overall,1993,0.2,0.14,0.25
K5,ind,Overall,1993,0.07,0.04,0.1
K1,overall,18-30,1993,1.24,0.79,1.69
K2,overall,18-30,1993,0.11,0.07,0.14
K3a,overall,18-30,1993,0.03,0.03,0.03
K3b,overall,18-30,1993,0.0,0.0,0.0
K4,overall,18-30,1993,0.0,0.0,0.0
K5,overall,18-30,1993,0.0,0.0,0.0
K1,overall,31-40,1993,2.83,1.81,3.85
K2,overall,31-40,1993,0.36,0.28,0.44
K3a,overall,31-40,1993,0.08,0.08,0.08
K3b,overall,31-40,1993,0.0,0.0,0.0
K4,overall,31-40,1993,0.0,0.0,0.0
K5,overall,31-40,1993,0.0,0.0,0.0
K1,overall,41-50,1993,3.93,2.29,5.58
K2,overall,41-50,1993,0.79,0.56,1.03
K3a,overall,41-50,1993,0.21,0.19,0.23
K3b,overall,41-50,1993,0.04,0.03,0.05
K4,overall,41-50,1993,0.01,0.0,0.01
K5,overall,41-50,1993,0.0,0.0,0.0
K1,overall,51-60,1993,5.6,3.83,7.36
K2,overall,51-60,1993,2.47,2.1,2.83
K3a,overall,51-60,1993,1.01,0.94,1.07
K3b,overall,51-60,1993,0.38,0.29,0.47
K4,overall,51-60,1993,0.07,0.03,0.1
K5,overall,51-60,1993,0.01,0.01,0.02
K1,overall,61-70,1993,9.52,7.74,11.3
K2,overall,61-70,1993,7.76,6.81,8.72
K3a,overall,61-70,1993,3.38,3.24,3.51
K3b,overall,61-70,1993,2.13,1.72,2.54
K4,overall,61-70,1993,0.46,0.26,0.65
K5,overall,61-70,1993,0.14,0.06,0.23
K1,overall,71-80,1993,10.15,8.47,11.82
K2,overall,71-80,1993,13.04,12.26,13.82
K3a,overall,71-80,1993,6.43,6.18,6.67
K3b,overall,71-80,1993,6.66,6.17,7.15
K4,overall,71-80,1993,1.79,1.4,2.17
K5,overall,71-80,1993,0.67,0.35,0.98
K1,overall,80+,1993,15.85,13.32,18.37
K2,overall,80+,1993,15.65,14.54,16.77
K3a,overall,80+,1993,5.7,5.61,5.8
K3b,overall,80+,1993,6.59,5.96,7.21
K4,overall,80+,1993,2.0,1.53,2.47
K5,overall,80+,1993,0.74,0.42,1.06
K1,overall,Overall,1994,3.69,2.56,4.82
K2,overall,Overall,1994,1.72,1.5,1.95
K3a,overall,Overall,1994,0.71,0.68,0.75
K3b,overall,Overall,1994,0.48,0.44,0.53
K4,overall,Overall,1994,0.13,0.09,0.18
K5,overall,Overall,1994,0.05,0.03,0.07
K1,chn,Overall,1994,2.96,2.01,3.9
K2,chn,Overall,1994,1.76,1.5,2.01
K3a,chn,Overall,1994,0.81,0.78,0.83
