stage,ethnicity,age_group,year,prevalence,lower,upper
K3b,overall,51-60,2006,0.41,0.34,0.47
K4,overall,51-60,2006,0.07,0.04,0.11
K5,overall,51-60,2006,0.04,0.01,0.07
K1,overall,61-70,2006,8.93,6.97,10.89
K2,overall,61-70,2006,7.17,6.5,7.84
K3a,overall,61-70,2006,3.62,3.46,3.78
K3b,overall,61-70,2006,2.2,1.94,2.46
K4,overall,61-70,2006,0.5,0.32,0.68
K5,overall,61-70,2006,0.39,0.15,0.63
K1,overall,71-80,2006,9.69,7.96,11.43
K2,overall,71-80,2006,12.66,11.17,14.15
K3a,overall,71-80,2006,6.87,6.67,7.06
K3b,overall,71-80,2006,6.01,5.71,6.32
K4,overall,71-80,2006,1.49,1.14,1.85
K5,overall,71-80,2006,1.12,0.63,1.61
K1,overall,80+,2006,9.98,7.93,12.02
K2,overall,80+,2006,17.91,16.22,19.59
K3a,overall,80+,2006,8.23,7.93,8.53
K3b,overall,80+,2006,9.0,8.73,9.27
K4,overall,80+,2006,2.19,1.84,2.53
K5,overall,80+,2006,1.41,1.03,1.79
K1,overall,Overall,2007,3.88,2.66,5.1
K2,overall,Overall,2007,2.12,1.82,2.42
K3a,overall,Overall,2007,1.03,0.99,1.07
K3b,overall,Overall,2007,0.67,0.62,0.72
K4,overall,Overall,2007,0.15,0.11,0.2
K5,overall,Overall,2007,0.11,0.06,0.16
K1,chn,Overall,2007,3.07,2.03,4.1
K2,chn,Overall,2007,2.22,1.85,2.58
K3a,chn,Overall,2007,1.25,1.21,1.3
K3b,chn,Overall,2007,0.76,0.71,0.81
K4,chn,Overall,2007,0.18,0.13,0.23
K5,chn,Overall,2007,0.11,0.06,0.15
K1,mal,Overall,2007,4.7,3.32,6.08
K2,mal,Overall,2007,1.84,1.67,2.02
K3a,mal,Overall,2007,0.74,0.71,0.77
K3b,mal,Overall,2007,0.61,0.57,0.64
K4,mal,Overall,2007,0.13,0.09,0.16
K5,mal,Overall,2007,0.08,0.03,0.12
K1,ind,Overall,2007,3.34,2.22,4.46
K2,ind,Overall,2007,3.02,2.36,3.69
K3a,ind,Overall,2007,1.63,1.52,1.74
K3b,ind,Overall,2007,0.75,0.7,0.81
K4,ind,Overall,2007,0.2,0.13,0.27
K5,ind,Overall,2007,0.24,0.14,0.34
K1,overall,18-30,2007,1.01,0.62,1.4
K2,overall,18-30,2007,0.09,0.05,0.12
K3a,overall,18-30,2007,0.03,0.03,0.03
K3b,overall,18-30,2007,0.0,0.0,0.0
K4,overall,18-30,2007,0.0,0.0,0.0
K5,overall,18-30,2007,0.0,0.0,0.0
K1,overall,31-40,2007,2.5,1.55,3.44
K2,overall,31-40,2007,0.32,0.23,0.41
K3a,overall,31-40,2007,0.08,0.08,0.09
K3b,overall,31-40,2007,0.01,0.0,0.01
K4,overall,31-40,2007,0.0,0.0,0.0
K5,overall,31-40,2007,0.0,0.0,0.0
K1,overall,41-50,2007,3.66,2.22,5.09
K2,overall,41-50,2007,0.88,0.68,1.09
K3a,overall,41-50,2007,0.32,0.3,0.34
K3b,overall,41-50,2007,0.05,0.04,0.05
K4,overall,41-50,2007,0.01,0.0,0.01
K5,overall,41-50,2007,0.0,0.0,0.01
K1,overall,51-60,2007,5.42,3.59,7.25
K2,overall,51-60,2007,2.4,1.94,2.87
K3a,overall,51-60,2007,1.2,1.09,1.31
K3b,overall,51-60,2007,0.42,0.36,0.48
K4,overall,51-60,2007,0.08,0.04,0.12
K5,overall,51-60,2007,0.05,0.02,0.08
K1,overall,61-70,2007,8.97,6.95,10.99
K2,overall,61-70,2007,7.16,6.37,7.94
K3a,overall,61-70,2007,3.65,3.48,3.81
K3b,overall,61-70,2007,2.24,2.0,2.49
K4,overall,61-70,2007,0.5,0.33,0.67
K5,overall,61-70,2007,0.4,0.16,0.65
K1,overall,71-80,2007,9.67,7.89,11.45
K2,overall,71-80,2007,12.72,11.27,14.16
K3a,overall,71-80,2007,6.89,6.78,7.01
K3b,overall,71-80,2007,6.14,5.8,6.48
K4,overall,71-80,2007,1.51,1.16,1.86
K5,overall,71-80,2007,1.12,0.58,1.66
K1,overall,80+,2007,9.86,7.94,11.79
K2,overall,80+,2007,17.7,16.03,19.37
K3a,overall,80+,2007,8.34,8.21,8.47
K3b,overall,80+,2007,9.02,8.66,9.38
K4,overall,80+,2007,2.16,1.76,2.56
K5,overall,80+,2007,1.31,0.99,1.63
K1,overall,Overall,2008,3.9,2.68,5.11
K2,overall,Overall,2008,2.15,1.85,2.45
K3a,overall,Overall,2008,1.06,1.02,1.1
K3b,overall,Overall,2008,0.7,0.65,0.75
K4,overall,Overall,2008,0.16,0.12,0.2
K5,overall,Overall,2008,0.11,0.06,0.17
K1,chn,Overall,2008,3.07,2.04,4.1
K2,chn,Overall,2008,2.25,1.89,2.62
K3a,chn,Overall,2008,1.29,1.25,1.34
K3b,chn,Overall,2008,0.81,0.75,0.87
K4,chn,Overall,2008,0.19,0.14,0.23
K5,chn,Overall,2008,0.11,0.06,0.16
K1,mal,Overall,2008,4.75,3.37,6.13
K2,mal,Overall,2008,1.88,1.7,2.06
K3a,mal,Overall,2008,0.76,0.72,0.79
K3b,mal,Overall,2008,0.62,0.59,0.65
K4,mal,Overall,2008,0.13,0.1,0.16
K5,mal,Overall,2008,0.08,0.03,0.13
K1,ind,Overall,2008,3.3,2.22,4.39
K2,ind,Overall,2008,3.06,2.38,3.74
K3a,ind,Overall,2008,1.66,1.56,1.76
K3b,ind,Overall,2008,0.77,0.7,0.85
K4,ind,Overall,2008,0.22,0.14,0.3
K5,ind,Overall,2008,0.23,0.14,0.31
K1,overall,18-30,2008,0.99,0.6,1.38
K2,overall,18-30,2008,0.08,0.05,0.11
K3a,overall,18-30,2008,0.03,0.03,0.03
K3b,overall,18-30,2008,0.0,0.0,0.0
K4,overall,18-30,2008,0.0,0.0,0.0
K5,overall,18-30,2008,0.0,0.0,0.0
K1,overall,31-40,2008,2.44,1.52,3.35
K2,overall,31-40,2008,0.31,0.22,0.4
K3a,overall,31-40,2008,0.09,0.09,0.09
K3b,overall,31-40,2008,0.01,0.0,0.01
K4,overall,31-40,2008,0.0,0.0,0.0
K5,overall,31-40,2008,0.0,0.0,0.0
K1,overall,41-50,2008,3.66,2.21,5.11
K2,overall,41-50,2008,0.89,0.67,1.1
K3a,overall,41-50,2008,0.32,0.3,0.34
K3b,overall,41-50,2008,0.05,0.05,0.06
K4,overall,41-50,2008,0.01,0.0,0.01
K5,overall,41-50,2008,0.0,0.0,0.01
K1,overall,51-60,2008,5.39,3.58,7.19
K2,overall,51-60,2008,2.39,1.94,2.84
K3a,overall,51-60,2008,1.2,1.1,1.29
K3b,overall,51-60,2008,0.43,0.36,0.49
K4,overall,51-60,2008,0.07,0.03,0.11
K5,overall,51-60,2008,0.05,0.02,0.08
K1,overall,61-70,2008,9.01,7.02,10.99
K2,overall,61-70,2008,7.04,6.25,7.82
K3a,overall,61-70,2008,3.65,3.49,3.82
K3b,overall,61-70,2008,2.21,1.98,2.45
K4,overall,61-70,2008,0.51,0.33,0.7
K5,overall,61-70,2008,0.39,0.16,0.63
K1,overall,71-80,2008,9.47,7.73,11.2
K2,overall,71-80,2008,12.74,11.44,14.04
K3a,overall,71-80,2008,6.88,6.73,7.03
K3b,overall,71-80,2008,6.3,5.92,6.67
K4,overall,71-80,2008,1.51,1.19,1.83
K5,overall,71-80,2008,1.12,0.59,1.64
K1,overall,80+,2008,9.68,7.76,11.61
K2,overall,80+,2008,17.55,15.6,19.49
K3a,overall,80+,2008,8.32,8.1,8.54
K3b,overall,80+,2008,9.25,8.88,9.63
K4,overall,80+,2008,2.24,1.87,2.61
K5,overall,80+,2008,1.32,0.99,1.64
K1,overall,Overall,2009,3.88,2.68,5.08
K2,overall,Overall,2009,2.17,1.86,2.48
K3a,overall,Overall,2009,1.08,1.04,1.12
K3b,overall,Overall,2009,0.72,0.66,0.78
K4,overall,Overall,2009,0.16,0.12,0.2
K5,overall,Overall,2009,0.12,0.06,0.17
K1,chn,Overall,2009,3.06,2.03,4.09
K2,chn,Overall,2009,2.28,1.91,2.65
K3a,chn,Overall,2009,1.34,1.3,1.38
K3b,chn,Overall,2009,0.84,0.77,0.92
K4,chn,Overall,2009,0.2,0.15,0.24
K5,chn,Overall,2009,0.12,0.06,0.17
K1,mal,Overall,2009,4.75,3.37,6.13
K2,mal,Overall,2009,1.9,1.72,2.09
K3a,mal,Overall,2009,0.76,0.73,0.8
K3b,mal,Overall,2009,0.64,0.6,0.67
K4,mal,Overall,2009,0.13,0.1,0.16
K5,mal,Overall,2009,0.08,0.03,0.13
K1,ind,Overall,2009,3.2,2.14,4.26
K2,ind,Overall,2009,3.05,2.38,3.71
K3a,ind,Overall,2009,1.65,1.55,1.75
K3b,ind,Overall,2009,0.81,0.72,0.89
K4,ind,Overall,2009,0.22,0.15,0.29
K5,ind,Overall,2009,0.23,0.13,0.33
K1,overall,18-30,2009,0.97,0.59,1.35
K2,overall,18-30,2009,0.08,0.06,0.11
K3a,overall,18-30,2009,0.03,0.04,0.03
K3b,overall,18-30,2009,0.0,0.0,0.0
K4,overall,18-30,2009,0.0,0.0,0.0
K5,overall,18-30,2009,0.0,0.0,0.0
K1,overall,31-40,2009,2.36,1.47,3.25
K2,overall,31-40,2009,0.3,0.21,0.38
K3a,overall,31-40,2009,0.09,0.09,0.1
K3b,overall,31-40,2009,0.01,0.0,0.01
K4,overall,31-40,2009,0.0,0.0,0.0
K5,overall,31-40,2009,0.0,0.0,0.0
K1,overall,41-50,2009,3.64,2.18,5.09
K2,overall,41-50,2009,0.89,0.66,1.12
K3a,overall,41-50,2009,0.32,0.31,0.34
K3b,overall,41-50,2009,0.06,0.05,0.07
K4,overall,41-50,2009,0.01,0.0,0.01
K5,overall,41-50,2009,0.0,0.0,0.0
K1,overall,51-60,2009,5.37,3.57,7.17
K2,overall,51-60,2009,2.42,1.97,2.87
K3a,overall,51-60,2009,1.2,1.11,1.29
K3b,overall,51-60,2009,0.44,0.36,0.52
K4,overall,51-60,2009,0.07,0.03,0.11
K5,overall,51-60,2009,0.05,0.01,0.08
K1,overall,61-70,2009,8.89,7.0,10.78
K2,overall,61-70,2009,6.9,6.11,7.69
K3a,overall,61-70,2009,3.65,3.48,3.83
K3b,overall,61-70,2009,2.23,1.97,2.48
K4,overall,61-70,2009,0.5,0.33,0.68
K5,overall,61-70,2009,0.37,0.14,0.61
K1,overall,71-80,2009,9.45,7.69,11.21
K2,overall,71-80,2009,12.62,11.36,13.88
K3a,overall,71-80,2009,6.94,6.72,7.16
K3b,overall,71-80,2009,6.36,6.0,6.72
K4,overall,71-80,2009,1.57,1.28,1.86
K5,overall,71-80,2009,1.18,0.62,1.73
K1,overall,80+,2009,9.86,7.76,11.95
K2,overall,80+,2009,17.42,15.3,19.53
K3a,overall,80+,2009,8.22,8.28,8.15
K3b,overall,80+,2009,9.5,8.92,10.08
K4,overall,80+,2009,2.2,1.9,2.5
K5,overall,80+,2009,1.29,0.94,1.64
K1,overall,Overall,2010,3.92,2.71,5.12
K2,overall,Overall,2010,2.22,1.91,2.54
K3a,overall,Overall,2010,1.12,1.08,1.15
K3b,overall,Overall,2010,0.75,0.69,0.81
K4,overall,Overall,2010,0.17,0.12,0.21
K5,overall,Overall,2010,0.12,0.06,0.18
K1,chn,Overall,2010,3.08,2.05,4.11
K2,chn,Overall,2010,2.34,1.96,2.72
K3a,chn,Overall,2010,1.39,1.35,1.43
K3b,chn,Overall,2010,0.89,0.82,0.97
K4,chn,Overall,2010,0.2,0.15,0.25
K5,chn,Overall,2010,0.12,0.06,0.18
K1,mal,Overall,2010,4.82,3.44,6.19
K2,mal,Overall,2010,1.96,1.76,2.15
K3a,mal,Overall,2010,0.79,0.77,0.81
K3b,mal,Overall,2010,0.66,0.61,0.7
K4,mal,Overall,2010,0.13,0.1,0.17
K5,mal,Overall,2010,0.09,0.04,0.13
K1,ind,Overall,2010,3.19,2.13,4.25
K2,ind,Overall,2010,3.08,2.43,3.73
K3a,ind,Overall,2010,1.68,1.58,1.77
K3b,ind,Overall,2010,0.83,0.76,0.9
K4,ind,Overall,2010,0.22,0.15,0.29
K5,ind,Overall,2010,0.23,0.13,0.33
K1,overall,18-30,2010,0.98,0.61,1.36
K2,overall,18-30,2010,0.09,0.06,0.12
K3a,overall,18-30,2010,0.03,0.04,0.03
K3b,overall,18-30,2010,0.0,0.0,0.0
K4,overall,18-30,2010,0.0,0.0,0.0
K5,overall,18-30,2010,0.0,0.0,0.0
K1,overall,31-40,2010,2.35,1.46,3.25
K2,overall,31-40,2010,0.29,0.2,0.38
K3a,overall,31-40,2010,0.09,0.09,0.09
K3b,overall,31-40,2010,0.0,0.0,0.01
K4,overall,31-40,2010,0.0,0.0,0.0
K5,overall,31-40,2010,0.0,0.0,0.0
K1,overall,41-50,2010,3.58,2.17,5.0
K2,overall,41-50,2010,0.87,0.65,1.09
K3a,overall,41-50,2010,0.32,0.31,0.34
K3b,overall,41-50,2010,0.05,0.05,0.06
K4,overall,41-50,2010,0.01,0.0,0.01
K5,overall,41-50,2010,0.0,0.0,0.01
K1,overall,51-60,2010,5.34,3.54,7.15
K2,overall,51-60,2010,2.42,1.96,2.88
K3a,overall,51-60,2010,1.21,1.12,1.3
K3b,overall,51-60,2010,0.45,0.37,0.54
K4,overall,51-60,2010,0.08,0.04,0.12
K5,overall,51-60,2010,0.05,0.01,0.08
K1,overall,61-70,2010,8.85,6.96,10.74
K2,overall,61-70,2010,6.85,6.07,7.63
K3a,overall,61-70,2010,3.64,3.5,3.79
K3b,overall,61-70,2010,2.2,1.97,2.43
K4,overall,61-70,2010,0.49,0.31,0.67
K5,overall,61-70,2010,0.38,0.14,0.61
K1,overall,71-80,2010,9.46,7.74,11.17
K2,overall,71-80,2010,12.46,11.23,13.69
K3a,overall,71-80,2010,6.8,6.69,6.91
K3b,overall,71-80,2010,6.32,5.95,6.69
K4,overall,71-80,2010,1.53,1.2,1.87
K5,overall,71-80,2010,1.17,0.64,1.69
K1,overall,80+,2010,9.83,7.73,11.93
K2,overall,80+,2010,17.26,15.04,19.49
K3a,overall,80+,2010,8.47,8.48,8.45
K3b,overall,80+,2010,9.6,9.1,10.09
K4,overall,80+,2010,2.2,1.91,2.49
K5,overall,80+,2010,1.32,0.95,1.69
K1,overall,Overall,2011,3.98,2.77,5.18
K2,overall,Overall,2011,2.28,1.96,2.61
K3a,overall,Overall,2011,1.17,1.13,1.2
K3b,overall,Overall,2011,0.79,0.73,0.85
K4,overall,Overall,2011,0.18,0.13,0.22
K5,overall,Overall,2011,0.12,0.06,0.19
K1,chn,Overall,2011,3.11,2.08,4.14
K2,chn,Overall,2011,2.4,2.01,2.79
K3a,chn,Overall,2011,1.46,1.42,1.5
K3b,chn,Overall,2011,0.94,0.86,1.01
K4,chn,Overall,2011,0.22,0.16,0.27
K5,chn,Overall,2011,0.13,0.06,0.19
K1,mal,Overall,2011,4.91,3.52,6.29
K2,mal,Overall,2011,2.02,1.81,2.22
K3a,mal,Overall,2011,0.82,0.8,0.84
K3b,mal,Overall,2011,0.68,0.64,0.72
K4,mal,Overall,2011,0.14,0.1,0.17
K5,mal,Overall,2011,0.09,0.04,0.14
K1,ind,Overall,2011,3.22,2.15,4.29
K2,ind,Overall,2011,3.14,2.47,3.81
K3a,ind,Overall,2011,1.74,1.65,1.83
K3b,ind,Overall,2011,0.87,0.78,0.96
K4,ind,Overall,2011,0.22,0.15,0.29
K5,ind,Overall,2011,0.24,0.14,0.34
K1,overall,18-30,2011,1.01,0.63,1.39
K2,overall,18-30,2011,0.09,0.06,0.12
K3a,overall,18-30,2011,0.04,0.04,0.03
K3b,overall,18-30,2011,0.0,0.0,0.0
K4,overall,18-30,2011,0.0,0.0,0.0
K5,overall,18-30,2011,0.0,0.0,0.0
K1,overall,31-40,2011,2.34,1.44,3.25
K2,overall,31-40,2011,0.3,0.21,0.38
K3a,overall,31-40,2011,0.1,0.09,0.1
K3b,overall,31-40,2011,0.01,0.0,0.01
K4,overall,31-40,2011,0.0,0.0,0.0
K5,overall,31-40,2011,0.0,0.0,0.0
K1,overall,41-50,2011,3.6,2.17,5.03
K2,overall,41-50,2011,0.87,0.64,1.11
K3a,overall,41-50,2011,0.34,0.31,0.36
K3b,overall,41-50,2011,0.06,0.05,0.06
K4,overall,41-50,2011,0.01,0.0,0.01
K5,overall,41-50,2011,0.0,0.0,0.0
K1,overall,51-60,2011,5.29,3.53,7.06
K2,overall,51-60,2011,2.4,1.96,2.84
K3a,overall,51-60,2011,1.24,1.16,1.33
K3b,overall,51-60,2011,0.46,0.37,0.54
K4,overall,51-60,2011,0.08,0.03,0.12
K5,overall,51-60,2011,0.05,0.01,0.09
K1,overall,61-70,2011,8.81,6.91,10.71
K2,overall,61-70,2011,6.78,5.97,7.58
K3a,overall,61-70,2011,3.59,3.44,3.74
K3b,overall,61-70,2011,2.18,1.94,2.42
K4,overall,61-70,2011,0.48,0.33,0.64
K5,overall,61-70,2011,0.36,0.13,0.6
K1,overall,71-80,2011,9.52,7.88,11.17
K2,overall,71-80,2011,12.23,11.01,13.44
K3a,overall,71-80,2011,6.81,6.78,6.84
K3b,overall,71-80,2011,6.25,5.91,6.6
K4,overall,71-80,2011,1.55,1.19,1.9
K5,overall,71-80,2011,1.17,0.63,1.7
K1,overall,80+,2011,9.85,7.75,11.94
K2,overall,80+,2011,17.31,15.09,19.54
K3a,overall,80+,2011,8.49,8.39,8.6
K3b,overall,80+,2011,9.8,9.25,10.34
K4,overall,80+,2011,2.19,1.87,2.52
K5,overall,80+,2011,1.28,0.94,1.63
K1,overall,Overall,2012,4.02,2.8,5.24
K2,overall,Overall,2012,2.35,2.03,2.68
K3a,overall,Overall,2012,1.21,1.18,1.25
K3b,overall,Overall,2012,0.82,0.76,0.88
K4,overall,Overall,2012,0.19,0.14,0.24
K5,overall,Overall,2012,0.13,0.07,0.2
K1,chn,Overall,2012,3.15,2.11,4.19
K2,chn,Overall,2012,2.49,2.1,2.87
K3a,chn,Overall,2012,1.52,1.48,1.56
K3b,chn,Overall,2012,0.99,0.92,1.07
K4,chn,Overall,2012,0.23,0.17,0.29
K5,chn,Overall,2012,0.14,0.07,0.2
K1,mal,Overall,2012,4.97,3.57,6.36
K2,mal,Overall,2012,2.08,1.87,2.29
K3a,mal,Overall,2012,0.85,0.82,0.87
K3b,mal,Overall,2012,0.7,0.66,0.73
K4,mal,Overall,2012,0.14,0.11,0.18
K5,mal,Overall,2012,0.09,0.04,0.14
K1,ind,Overall,2012,3.24,2.17,4.31
K2,ind,Overall,2012,3.19,2.51,3.86
K3a,ind,Overall,2012,1.81,1.73,1.9
K3b,ind,Overall,2012,0.89,0.8,0.98
K4,ind,Overall,2012,0.24,0.16,0.32
K5,ind,Overall,2012,0.26,0.15,0.37
K1,overall,18-30,2012,1.02,0.65,1.39
K2,overall,18-30,2012,0.09,0.06,0.12
K3a,overall,18-30,2012,0.04,0.04,0.03
K3b,overall,18-30,2012,0.0,0.0,0.0
K4,overall,18-30,2012,0.0,0.0,0.0
K5,overall,18-30,2012,0.0,0.0,0.0
K1,overall,31-40,2012,2.35,1.43,3.27
K2,overall,31-40,2012,0.3,0.22,0.38
K3a,overall,31-40,2012,0.1,0.09,0.1
K3b,overall,31-40,2012,0.01,0.0,0.01
K4,overall,31-40,2012,0.0,0.0,0.0
K5,overall,31-40,2012,0.0,0.0,0.0
K1,overall,41-50,2012,3.57,2.15,4.99
K2,overall,41-50,2012,0.87,0.66,1.09
K3a,overall,41-50,2012,0.33,0.32,0.35
K3b,overall,41-50,2012,0.06,0.05,0.07
K4,overall,41-50,2012,0.01,0.0,0.01
K5,overall,41-50,2012,0.0,0.0,0.0
K1,overall,51-60,2012,5.29,3.53,7.06
K2,overall,51-60,2012,2.42,1.99,2.84
K3a,overall,51-60,2012,1.28,1.18,1.37
K3b,overall,51-60,2012,0.45,0.39,0.52
K4,overall,51-60,2012,0.08,0.04,0.12
K5,overall,51-60,2012,0.05,0.01,0.09
K1,overall,61-70,2012,8.79,6.88,10.7
K2,overall,61-70,2012,6.77,5.94,7.61
K3a,overall,61-70,2012,3.62,3.48,3.76
K3b,overall,61-70,2012,2.17,1.96,2.39
K4,overall,61-70,2012,0.49,0.31,0.67
K5,overall,61-70,2012,0.37,0.14,0.59
K1,overall,71-80,2012,9.41,7.73,11.09
K2,overall,71-80,2012,12.12,11.03,13.2
K3a,overall,71-80,2012,6.82,6.79,6.85
K3b,overall,71-80,2012,6.35,6.0,6.7
K4,overall,71-80,2012,1.57,1.23,1.9
K5,overall,71-80,2012,1.21,0.66,1.76
K1,overall,80+,2012,9.82,7.81,11.83
K2,overall,80+,2012,17.43,14.99,19.87
K3a,overall,80+,2012,8.43,8.27,8.59
K3b,overall,80+,2012,9.71,9.26,10.15
K4,overall,80+,2012,2.23,1.85,2.62
K5,overall,80+,2012,1.31,0.97,1.64
K1,overall,Overall,2013,4.08,2.85,5.31
K2,overall,Overall,2013,2.42,2.09,2.76
K3a,overall,Overall,2013,1.26,1.22,1.29
K3b,overall,Overall,2013,0.87,0.8,0.93
K4,overall,Overall,2013,0.2,0.14,0.25
K5,overall,Overall,2013,0.14,0.07,0.21
K1,chn,Overall,2013,3.18,2.13,4.22
K2,chn,Overall,2013,2.56,2.16,2.96
K3a,chn,Overall,2013,1.6,1.55,1.64
K3b,chn,Overall,2013,1.06,0.97,1.14
K4,chn,Overall,2013,0.25,0.18,0.31
K5,chn,Overall,2013,0.14,0.07,0.22
K1,mal,Overall,2013,5.05,3.64,6.46
K2,mal,Overall,2013,2.15,1.93,2.37
K3a,mal,Overall,2013,0.86,0.84,0.89
K3b,mal,Overall,2013,0.73,0.69,0.77
K4,mal,Overall,2013,0.15,0.11,0.19
K5,mal,Overall,2013,0.1,0.05,0.14
K1,ind,Overall,2013,3.27,2.18,4.35
K2,ind,Overall,2013,3.27,2.59,3.94
K3a,ind,Overall,2013,1.89,1.81,1.97
K3b,ind,Overall,2013,0.92,0.83,1.02
K4,ind,Overall,2013,0.25,0.16,0.33
K5,ind,Overall,2013,0.27,0.15,0.39
K1,overall,18-30,2013,1.05,0.67,1.42
K2,overall,18-30,2013,0.09,0.06,0.13
K3a,overall,18-30,2013,0.03,0.04,0.03
K3b,overall,18-30,2013,0.0,0.0,0.0
K4,overall,18-30,2013,0.0,0.0,0.0
K5,overall,18-30,2013,0.0,0.0,0.0
K1,overall,31-40,2013,2.35,1.41,3.29
K2,overall,31-40,2013,0.3,0.22,0.38
K3a,overall,31-40,2013,0.1,0.1,0.09
K3b,overall,31-40,2013,0.01,0.0,0.01
K4,overall,31-40,2013,0.0,0.0,0.0
K5,overall,31-40,2013,0.0,0.0,0.0
K1,overall,41-50,2013,3.55,2.13,4.97
K2,overall,41-50,2013,0.87,0.65,1.1
K3a,overall,41-50,2013,0.34,0.31,0.36
K3b,overall,41-50,2013,0.06,0.05,0.07
K4,overall,41-50,2013,0.01,0.0,0.01
K5,overall,41-50,2013,0.0,0.0,0.01
K1,overall,51-60,2013,5.3,3.54,7.06
K2,overall,51-60,2013,2.46,2.03,2.89
K3a,overall,51-60,2013,1.32,1.23,1.41
K3b,overall,51-60,2013,0.47,0.4,0.54
K4,overall,51-60,2013,0.08,0.04,0.13
K5,overall,51-60,2013,0.05,0.01,0.09
K1,overall,61-70,2013,8.8,6.88,10.71
K2,overall,61-70,2013,6.81,5.99,7.64
K3a,overall,61-70,2013,3.63,3.51,3.75
K3b,overall,61-70,2013,2.22,1.99,2.45
K4,overall,61-70,2013,0.5,0.31,0.68
K5,overall,61-70,2013,0.36,0.12,0.6
K1,overall,71-80,2013,9.37,7.64,11.1
K2,overall,71-80,2013,12.04,10.89,13.19
K3a,overall,71-80,2013,6.82,6.75,6.89
K3b,overall,71-80,2013,6.47,6.1,6.84
K4,overall,71-80,2013,1.57,1.29,1.85
K5,overall,71-80,2013,1.22,0.67,1.78
K1,overall,80+,2013,9.8,7.93,11.66
K2,overall,80+,2013,17.21,14.89,19.53
K3a,overall,80+,2013,8.41,8.35,8.47
K3b,overall,80+,2013,9.85,9.37,10.33
K4,overall,80+,2013,2.33,1.86,2.79
K5,overall,80+,2013,1.27,0.84,1.7
K1,overall,Overall,2014,4.14,2.9,5.37
K2,overall,Overall,2014,2.5,2.16,2.85
K3a,overall,Overall,2014,1.3,1.27,1.33
K3b,overall,Overall,2014,0.91,0.84,0.97
K4,overall,Overall,2014,0.21,0.15,0.26
K5,overall,Overall,2014,0.15,0.07,0.22
K1,chn,Overall,2014,3.21,2.15,4.26
K2,chn,Overall,2014,2.65,2.24,3.06
K3a,chn,Overall,2014,1.66,1.62,1.7
K3b,chn,Overall,2014,1.12,1.04,1.21
K4,chn,Overall,2014,0.26,0.19,0.33
K5,chn,Overall,2014,0.16,0.08,0.24
K1,mal,Overall,2014,5.13,3.73,6.54
K2,mal,Overall,2014,2.21,1.98,2.43
K3a,mal,Overall,2014,0.89,0.87,0.91
K3b,mal,Overall,2014,0.75,0.71,0.79
K4,mal,Overall,2014,0.15,0.11,0.2
K5,mal,Overall,2014,0.1,0.05,0.15
K1,ind,Overall,2014,3.33,2.23,4.43
K2,ind,Overall,2014,3.36,2.68,4.04
K3a,ind,Overall,2014,1.98,1.89,2.07
K3b,ind,Overall,2014,0.95,0.88,1.02
K4,ind,Overall,2014,0.27,0.17,0.37
K5,ind,Overall,2014,0.28,0.15,0.41
K1,overall,18-30,2014,1.07,0.69,1.45
K2,overall,18-30,2014,0.09,0.06,0.13
K3a,overall,18-30,2014,0.03,0.04,0.03
K3b,overall,18-30,2014,0.0,0.0,0.0
K4,overall,18-30,2014,0.0,0.0,0.0
K5,overall,18-30,2014,0.0,0.0,0.0
K1,overall,31-40,2014,2.35,1.42,3.28
K2,overall,31-40,2014,0.3,0.21,0.38
K3a,overall,31-40,2014,0.09,0.1,0.09
K3b,overall,31-40,2014,0.01,0.0,0.01
K4,overall,31-40,2014,0.0,0.0,0.0
K5,overall,31-40,2014,0.0,0.0,0.0
K1,overall,41-50,2014,3.55,2.12,4.97
K2,overall,41-50,2014,0.86,0.65,1.08
K3a,overall,41-50,2014,0.34,0.31,0.36
K3b,overall,41-50,2014,0.06,0.05,0.07
K4,overall,41-50,2014,0.01,0.0,0.01
K5,overall,41-50,2014,0.0,0.0,0.01
K1,overall,51-60,2014,5.3,3.56,7.04
K2,overall,51-60,2014,2.47,2.03,2.9
K3a,overall,51-60,2014,1.34,1.24,1.44
K3b,overall,51-60,2014,0.48,0.42,0.55
K4,overall,51-60,2014,0.09,0.05,0.13
K5,overall,51-60,2014,0.05,0.01,0.09
K1,overall,61-70,2014,8.76,6.84,10.67
K2,overall,61-70,2014,6.89,6.09,7.69
K3a,overall,61-70,2014,3.67,3.57,3.77
K3b,overall,61-70,2014,2.29,2.05,2.52
K4,overall,61-70,2014,0.51,0.31,0.7
K5,overall,61-70,2014,0.38,0.13,0.64
K1,overall,71-80,2014,9.37,7.67,11.07
K2,overall,71-80,2014,12.05,10.83,13.27
K3a,overall,71-80,2014,6.85,6.82,6.88
K3b,overall,71-80,2014,6.57,6.21,6.93
K4,overall,71-80,2014,1.57,1.23,1.92
K5,overall,71-80,2014,1.27,0.66,1.87
K1,overall,80+,2014,9.79,7.98,11.6
K2,overall,80+,2014,17.29,15.01,19.56
K3a,overall,80+,2014,8.38,8.34,8.42
K3b,overall,80+,2014,9.62,9.3,9.94
K4,overall,80+,2014,2.34,1.9,2.78
K5,overall,80+,2014,1.28,0.84,1.72
K1,overall,Overall,2015,4.2,2.95,5.44
K2,overall,Overall,2015,2.58,2.23,2.93
K3a,overall,Overall,2015,1.34,1.32,1.37
K3b,overall,Overall,2015,0.96,0.89,1.02
